seq_nota;cod_pdv;cod_caixa;cod_cliente;num_nota;dat_nota;flg_entrega;vlr_nota;vlr_dinheiro;vlr_tick;vlr_cartao
208;2;2;6;208;2013/10/28 00:00:00.000;N;341,93;0,0;0,0;0,0
1;1;1;1;1;2014/06/12 00:00:00.000;N;1427,97;0,0;0,0;0,0
2;1;1;2;2;2014/06/12 00:00:00.000;N;1134,38;0,0;0,0;0,0
3;1;1;3;3;2014/06/12 00:00:00.000;N;1129,23;0,0;0,0;0,0
4;1;1;4;4;2014/06/12 00:00:00.000;N;622,79;0,0;0,0;0,0
5;1;1;5;5;2014/06/12 00:00:00.000;N;1179,53;0,0;0,0;0,0
6;1;1;6;6;2014/06/12 00:00:00.000;N;985,0;0,0;0,0;0,0
209;1;2;4;209;2013/10/28 00:00:00.000;N;1286,1;0,0;0,0;0,0
210;2;2;5;210;2013/10/28 00:00:00.000;N;1117,0;0,0;0,0;0,0
211;1;3;1;211;2013/10/28 00:00:00.000;N;1742,0;0,0;0,0;0,0
212;1;2;4;212;2013/10/28 00:00:00.000;N;830,4;0,0;0,0;0,0
213;2;2;3;213;2013/10/28 00:00:00.000;N;1474,1;0,0;0,0;0,0
214;3;3;6;214;2013/10/28 00:00:00.000;N;1135,38;0,0;0,0;0,0
215;1;3;2;215;2013/10/28 00:00:00.000;N;1121,63;0,0;0,0;0,0
216;1;1;4;216;2013/10/28 00:00:00.000;N;1015,2;0,0;0,0;0,0
217;3;2;3;217;2013/10/28 00:00:00.000;N;1347,17;0,0;0,0;0,0
218;1;2;6;218;2013/10/28 00:00:00.000;N;515,0;0,0;0,0;0,0
219;3;2;1;219;2013/10/28 00:00:00.000;N;1090,19;0,0;0,0;0,0
220;3;1;3;220;2013/10/28 00:00:00.000;N;1062,7;0,0;0,0;0,0
221;2;1;2;221;2013/10/28 00:00:00.000;N;1572,5;0,0;0,0;0,0
222;3;3;1;222;2013/10/28 00:00:00.000;N;1068,0;0,0;0,0;0,0
223;3;2;5;223;2013/10/28 00:00:00.000;N;751,0;0,0;0,0;0,0
224;3;1;3;224;2013/10/28 00:00:00.000;N;936,32;0,0;0,0;0,0
225;1;1;3;225;2013/10/28 00:00:00.000;N;969,09;0,0;0,0;0,0
226;3;3;1;226;2013/10/28 00:00:00.000;N;1271,65;0,0;0,0;0,0
227;1;2;5;227;2013/10/28 00:00:00.000;N;944,89;0,0;0,0;0,0
228;3;3;4;228;2013/10/28 00:00:00.000;N;802,41;0,0;0,0;0,0
229;1;3;2;229;2013/10/28 00:00:00.000;N;1175,3;0,0;0,0;0,0
230;2;3;6;230;2013/10/28 00:00:00.000;N;1478,96;0,0;0,0;0,0
231;1;2;5;231;2013/10/28 00:00:00.000;N;993,2;0,0;0,0;0,0
232;2;2;4;232;2013/10/28 00:00:00.000;N;505,33;0,0;0,0;0,0
233;1;1;5;233;2013/10/28 00:00:00.000;N;1534,01;0,0;0,0;0,0
234;2;2;2;234;2013/10/28 00:00:00.000;N;916,86;0,0;0,0;0,0
235;3;2;6;235;2013/10/28 00:00:00.000;N;1148,1;0,0;0,0;0,0
236;2;3;6;236;2013/10/28 00:00:00.000;N;1969,0;0,0;0,0;0,0
237;1;2;2;237;2013/10/28 00:00:00.000;N;376,8;0,0;0,0;0,0
238;1;1;5;238;2013/10/28 00:00:00.000;N;1180,03;0,0;0,0;0,0
239;3;3;4;239;2013/10/28 00:00:00.000;N;1003,7;0,0;0,0;0,0
240;2;3;2;240;2013/10/28 00:00:00.000;N;561,8;0,0;0,0;0,0
241;1;1;1;241;2013/10/28 00:00:00.000;N;1032,4;0,0;0,0;0,0
242;1;1;3;242;2013/10/28 00:00:00.000;N;760,18;0,0;0,0;0,0
243;3;2;4;243;2013/10/28 00:00:00.000;N;1115,26;0,0;0,0;0,0
244;1;1;3;244;2013/10/28 00:00:00.000;N;1020,11;0,0;0,0;0,0
245;2;3;6;245;2013/10/28 00:00:00.000;N;361,2;0,0;0,0;0,0
246;1;3;3;246;2013/10/28 00:00:00.000;N;1299,66;0,0;0,0;0,0
247;3;3;6;247;2013/10/28 00:00:00.000;N;736,1;0,0;0,0;0,0
248;3;1;5;248;2013/10/28 00:00:00.000;N;1139,32;0,0;0,0;0,0
249;3;2;2;249;2013/10/28 00:00:00.000;N;1259,87;0,0;0,0;0,0
250;2;2;6;250;2013/10/28 00:00:00.000;N;819,74;0,0;0,0;0,0
251;2;3;1;251;2013/10/28 00:00:00.000;N;924,0;0,0;0,0;0,0
252;1;1;6;252;2013/10/28 00:00:00.000;N;1251,21;0,0;0,0;0,0
253;3;1;4;253;2013/10/28 00:00:00.000;N;327,0;0,0;0,0;0,0
254;2;1;4;254;2013/10/28 00:00:00.000;N;1132,0;0,0;0,0;0,0
255;3;1;3;255;2013/10/28 00:00:00.000;N;986,48;0,0;0,0;0,0
256;1;3;3;256;2013/10/28 00:00:00.000;N;1741,84;0,0;0,0;0,0
257;2;2;2;257;2013/10/28 00:00:00.000;N;645,24;0,0;0,0;0,0
258;1;3;2;258;2013/10/28 00:00:00.000;N;1155,85;0,0;0,0;0,0
259;2;1;5;259;2013/10/28 00:00:00.000;N;902,88;0,0;0,0;0,0
260;2;3;4;260;2013/10/28 00:00:00.000;N;936,0;0,0;0,0;0,0
261;2;1;4;261;2013/10/28 00:00:00.000;N;670,0;0,0;0,0;0,0
