cod_produto;nom_produto;cod_fornecedor;cod_setor;cod_unidade;flg_fracionado;vlr_venda;vlr_custo;vlr_medio;cod_promocao;vlr_promocao
1;;3;4;4;N;10,0;5,0;8,0;;
2;;3;4;4;N;15,0;8,0;12,0;;
3;;3;4;4;N;24,9;12,6;18,0;;
4;;3;4;3;N;10,99;7,6;8,9;;
5;;3;5;4;N;2,0;0,7;1,2;;
7;;3;5;4;N;19,0;12,0;13,0;;
8;;1;2;5;N;10,0;5,0;8,0;;
9;;1;2;5;N;15,0;8,0;12,0;;
10;;1;2;5;N;24,9;12,6;18,0;;
11;;1;2;5;N;10,99;7,6;8,9;;
12;;2;2;5;N;35,0;27,0;31,0;;
13;;2;2;5;N;38,0;29,0;34,0;;
14;;2;3;3;N;10,0;5,0;8,0;;
15;;2;3;4;N;15,0;8,0;12,0;;
16;;2;3;4;N;24,9;12,6;18,0;;
6;;3;5;4;N;2,0;0,7;1,2;;
